text,Source
The legislation ends criminal penalties for self-abortion and – in the case of an unborn baby who is the victim of a homicide – defines “person” as “a human being who has been born and is alive.”,Expert (Spinde)
"And if we look at a subset of guns which the left  loves to deride - rifles, for instance - then a clearer picture about gun deaths is quickly visible.",Expert (Spinde)
"While the workaday majority of Americans continue to be mired in our low-wage economy, the precious few at the tippy top soared out of sight in 2019.",Expert (Spinde)
"This is also true for students snookered into matriculating at sketchy for-profit colleges, which offer almost no marketable skills or career preparedness to justify the cost. And it further describes recent college graduates who, through an accident of timing, entered the real world during the Great Recession and its aftermath, finding it difficult to obtain work in their field of study.",Expert (Spinde)
Letters from GOP members of Congress and national pro-life leaders to the White House and the Food and Drug Administration (FDA) last week asserted Democrats are attempting to exploit the coronavirus pandemic for the purpose of advancing their party’s pro-abortion agenda.,Expert (Spinde)
"Former Australia Prime Minister Kevin Rudd ripped Donald Trump’s botched handling of the coronavirus pandemic in a new op-ed, describing the U.S. president as a “quack apothecary” for hyping unproven cures",Expert (Spinde)
"In a September executive order, President Donald Trump gave states and local governments the right to reject refugees, but instead of saying no, most state and local officials have blindsided the administration by opting in, according to two former officials familiar with the matter.",Expert (Spinde)
"Those filings are expected to show that Sen. Sanders, the so-called democratic socialist, made millions from book sales.",Expert (Spinde)
"Despite saving millions upon millions of lives, vaccines have been meet with skepticism by a small but growing faction of conspiracy theorists. And Donald Trump, ""human megaphone that is the president of the United States,"" has only made matters worse by supporting an ""alternative vaccine schedule.""",Expert (Spinde)
"Chinese state media outlets have been bursting with criticism for President Donald Trump during the current round of riots, but the Chinese Communist Party (CCP) also tossed a few bricks at former President Barack Obama and his Democrat Party, needling them for doing little about racial issues and touting China’s efforts to care for its poor and disenfranchised as vastly superior to the Democrats’ half-hearted socialism.",Expert (Spinde)
"The white supremacists and other far right extremists are super-gun-owners, they are armed to the teeth, and law enforcement is understandably reluctant to get them het up.",Expert (Spinde)
"Donald Trump, who was pro-choice in the not-too-distant past and never fit the mold of a far-right culture-war crusader, has taken a keen interest in abortion rights lately.",Expert (Spinde)
"Like many Never Trump screeds, Will’s criticisms are cloaked around the Republican party. His real issue, however, is with Trump voters. He blames the party for nominating Trump and stocking Congress with “invertebrates whose unswerving abjectness has enabled his institutional vandalism…” But if pro-Trump Congressmen are “invertebrates,” what does that make the Americans who voted for them?",Expert (Spinde)
Student debt increased by a whopping 107 percent between 2009 and 2019. Americans now owe $1.6 trillion in education loans. Policy wonks and politicians respond by concocting flashy plans that hardly solve the debt crisis.,Expert (Spinde)
"Haqqani claimed the Taliban are just looking for a round of free and fair elections, laughably pretending the murderous Islamist extremists would cheerfully accept losing and head back to their caves in peace if the Afghan people reject them.",Expert (Spinde)
"Coronavirus truthers ignorantly believe that the mainstream media, Democrats, liberals, progressives and Never Trump conservatives have been exaggerating the threat of COVID-19.",Expert (Spinde)
"Thunberg lambasted business and political elites gathered at WEF Tuesday for not doing enough to tackle climate change, warning that time was running out.",Expert (Spinde)
"The hot new idea to tax America’s rich is a wealth tax, which – although designed to target the wealthiest taxpayers – could end up eventually hurting middle-class families.",Expert (Spinde)
"Former GOP strategist Steve Schmidt on Monday rebuked President Donald Trump’s fumbling response to the coronavirus pandemic, suggesting the United States would not be facing “catastrophe” if former President Barack Obama were still in office",Expert (Spinde)
"It was not stingy family leave policies that had this baby killed, it was the child’s mother, encouraged and enabled by a culture and legal regime that regard babies as a capstone consumer commodity to be ordered up when convenient, and violently disposed of when inconvenient.",Expert (Spinde)
"Miller is the architect of President Donald Trump's hardline immigration policies that have separated children from parents, forced people seeking asylum in the U.S. to wait in Mexico under squalid conditions, instituted the Muslim ban and poured money from the military into border wall construction.",Expert (Spinde)
"But, whether this switch constitutes a true win for the racist right or not, it’s clear that MAGA conservatives are highly attuned to how decisions are made in the White House and which positions they want to control.",Expert (Spinde)
"For twenty days, from the day the first death from coronavirus was known, Democrats did nothing about it. They were too busy with the president’s impeachment trial — a trial Pelosi had delayed unnecessarily for several weeks.",Expert (Spinde)
The number of April background checks to purchase a firearm showed Americans flocking to gun stores in high numbers for the second month in a row amid worries about the coronavirus pandemic.,Expert (Spinde)
House Democrats’ Chinese coronavirus relief package bails out coastal millionaires and billionaires while ensuring big businesses are able to freely hire illegal aliens and visa overstayers over unemployed Americans.,Expert (Spinde)
"President Donald Trump has characterized those clashing with law enforcement after George Floyd’s death under the knee of a Minneapolis police officer as organized, radical-left thugs engaging in domestic terrorism, an assertion repeated by Attorney General William Barr.",Expert (Spinde)
"Derrick Morgan, senior vice president for federal and regulatory affairs for oil lobby group American Fuel & Petrochemical Manufacturers (AFRM), bragged about how successful the industry has been in pushing anti-protest legislation,",Expert (Spinde)
"Proponents of better compensation and labor rights for college athletes have hammered the NCAA on numerous fronts over the last decade, with federal lawsuits, attempts to unionize, legislation in statehouses and Congress, and new leagues that aim to compete for top-tier athletes by paying them more than the NCAA allows.",Expert (Spinde)
"UFC Middleweight Champion Israel Adesanya’s comment that his opponent will ""crumble like the Twin Towers"", in addition to being terrible and inappropriate, also makes no sense. ",Expert (Spinde)
"As shown below, women are harmed by Planned Parenthood, and the vulnerable––such as sex abuse victims and the unborn––are sacrificed for profit and political advance.",Expert (Spinde)
Coronavirus vaccine and quarantine protesters in America form an unholy COVID-19 alliance.,Expert (Spinde)
"This group is small but vocal, and represents a predictable if threatening merging of forces.",Expert (Spinde)
"Powell and others in the George W. Bush administration lied extensively while making the case for war in Iraq in the early 2000s, fabricating “evidence” of the existence of weapons of mass destruction within the country.",Expert (Spinde)
Never mind the fact that some of Trump’s strongest supporters have had no problem whatsoever in criticizing him for substantive reasons — as in the backlash against his criticism of Attorney General Jeff Sessions. NeverTrumpers still believe themselves to be the unique guardians of conservative orthodoxy and honest punditry.,Expert (Spinde)
"But even if there was a president in the Oval Office who took the issue seriously, there’s still a do-nothing Senate to contend with.",Expert (Spinde)
"President Donald Trump in an interview on Wednesday ripped former Vice President Joe Biden for failing on race relations, after 43 years in public office.",Expert (Spinde)
"The debt load for those who pursue law or medical school will undoubtedly be higher, and might be stacked on top of existing debt incurred by undergraduate degrees.",Expert (Spinde)
Since the Democrat Congress and the Obama administration orchestrated the government takeover of student loans in 2010 the total amount of student loan debt has exploded.,Expert (Spinde)
"The Citibank and Bank of America examples are just the tip of the iceberg, and do not even begin to reveal the larger financial shenanigans against gun makers via Operation Choke Point.",Expert (Spinde)
A new report reveals that the 2017 GOP tax law was rife with monumental self-dealing by rich GOP lawmakers who have since benefited bigly.,Expert (Spinde)
"Gov. Greg Abbott dug his heels in Tuesday in a TV interview explaining why Texas will be the only state in the nation to reject refugees seeking resettlement, saying that aid groups working with refugees should instead prioritize other Texans in need, including the state’s homeless population.",Expert (Spinde)
"Shortly after he took office on Monday, California's Democratic Gov. Gavin Newsom unearthed an unprecedented new health care agenda for his state, aimed at offering dramatically more benefits to illegal immigrants and protecting the embattled Affordable Care Act, which a federal judge recently struck down as unconstitutional.",Expert (Spinde)
"While Americans still cling to sexist gender roles at home, overwhelming majorities believe that sex discrimination in public spaces should be illegal.",Expert (Spinde)
"A previous boom that saw gun sales double over a decade through 2016 corresponded largely with Democratic President Barack Obama’s time in office, when fears that gun control laws would be enacted drove gun aficionados to stock up.",Expert (Spinde)
"Despite Democrats regularly characterizing America as socially pathologized with anti-woman “sexism” and “misogyny” — where women face greater cultural, economic, political, and social adversities relative to men — Warren framed her sex as a political asset in comparison to her male competitors for the Democrats’ presidential nomination to defeat President Donald Trump in November’s general election.",Expert (Spinde)
The National Republican Senatorial Committee slammed Senate Democrats for blocking the legislation.,Expert (Spinde)
"As if barren grocery store shelves and daily chaos amid the spread of coronavirus were not enough, would-be Southwest Florida vacation property renters have been refused refunds by Naples and Fort Myers Beach landlords, who are faced with their own set of financial distress.",Expert (Spinde)
"Sen. Ernst’s flippancy shows how little she and other Republicans think of the grannies and grandpas, dads and moms, and working men and women who have broken their backs to pay taxes and provide for their families.",Expert (Spinde)
"King’s defense understandably rang hollow, as he has a long history of making comments ranging from insensitive to downright unacceptable.",Expert (Spinde)
"President Donald Trump offered an unusual warning to Virginia farmers on Tuesday, suggesting that gun control will leave their potatoes defenseless. ",Expert (Spinde)
"I get that the media really want to do some bullcrap horse-race point-scoring partisan sniping right now. But these are actually important questions. And “gotcha” reporting may get you butt-slapped by your fellow reporters at the bar, but it’s actually really dangerous.",Expert (Spinde)
"My point is that it was a bait-and-switch, and not in a crazed, left-wing state like California. ",Expert (Spinde)
"As shocking as it is, even the terrorists of ISIS have been shown for respect for science when it comes to COVID-19 than the Christian Right, American white nationalists and coronavirus truthers. And the more the Christian Right rails against Fauci and social distancing, the more painfully obvious it becomes that they are a white nationalist death cult.",Expert (Spinde)
"With our climate-impacted world now highly prone to fires, extreme storms and sea-level rise, nuclear energy is touted as a possible replacement for the burning of fossil fuels for energy – the leading cause of climate change.",Expert (Spinde)
"But it was Hawley’s keynote address at the National Conservatism Conference that nailed down who he is, what he believes, and where his party is going in a way that should be absolutely terrifying for every American.",Expert (Spinde)
"As the world’s scientists and pharmaceutical companies seek a cure for the coronavirus, other anti-vaxxers are gearing up for a fight against any potential new vaccine.",Expert (Spinde)
"Military ships and aircraft have been deployed to coastal communities in southeastern Australia cut off by raging wildfires that have raced towards the coast, trapping thousands as the death toll from the apocalyptic blazes continues to grow.",Expert (Spinde)
"By any sensible measure, the Trump administration is among the worst ever seen for respecting, valuing, and following science.",Expert (Spinde)
"Even after climton's loss in 2016, the network tried desperately to drag her back into the spotlight, to juice up its long-running narrative that she’s a an all-powerful force of marauding feminist evil, which viewers embrace with lust.",Expert (Spinde)
"President Trump's two-day visit to India turned to substance Tuesday after opening with a heavy dose of pomp and pageantry, but few concrete accomplishments were expected from the whirlwind trip.",Expert (Spinde)
"Rep. Alexandria Ocasio-Cortez, D-N.Y., has taken Congress by storm, quickly becoming the de facto leader of the left-wing bloc of freshman Democrats seeking to overhaul the status quo with far-left ideas like the Green New Deal.",Expert (Spinde)
The destruction of the middle class is destroying democracies and paving the way for authoritarian rule.,Expert (Spinde)
"I'm also struck by Blackburn's style of needlessly toxic politics, once again questioning the patriotism of a decorated U.S. Army combat veteran who earned a Purple Heart.",Expert (Spinde)
"But behind the scenes, Trump was getting briefings. Terrible briefings. Really awful stuff. His own campaign manager, Brad Parscale, who was reported to have spent his hefty paycheck from the Trump campaign on condos, a luxury boat and a Ferrari, met with him and showed him his internal poll numbers.",Expert (Spinde)
Trump's comments came during a mega-rally in the world's largest cricket stadium — part of an elaborate Indian welcome for a president who revels in pomp and pageantry.,Expert (Spinde)
"This idea, gaining traction under the hashtag #CancelStudentDebt following the release of Sanders’ college debt forgiveness plan, is bad for several reasons, but naturally appealing in a sort of populist way, since plenty of people choose not to think about second-order impacts and potential consequences of driving our country into even more ruinous national debt than before.",Expert (Spinde)
"There are no more major cases against the NCAA proceeding currently, but Wilken has slowly eroded some of the NCAA’s favorite arguments and restrictions.",Expert (Spinde)
"The looting and riots and fires in blue cities across the country today reaffirm that it is not “justice” but “war” that today’s radicals have in mind. From a moment that brought all Americans together in their sense of right and wrong, politicians and groups bent on destabilizing the nation chose division…and got their way.",Expert (Spinde)
In every case legislators are being swarmed by right-wing activists who don’t hesitate to use deceit and hysteria to stop Equal Rights Amendment (ERA) ratification from happening.,Expert (Spinde)
"It’s only a matter of time, the argument goes, before the Roe v. Wade precedent is struck down at the hands of five conservative justices, two of whom are on the high court thanks to Trump.",Expert (Spinde)
"As the deadly COVID-19 contagion sweeps across the country, gun sales are surging, spurred in many regions by panic buying and purchases by first-time firearm owners. ",Expert (Spinde)
"The government of the secretive central Asian nation Turkmenistan published photos of what it claimed to be thousands of cyclists celebrating World Health Day on Tuesday with a crowded ride through the nation’s capital, Ashgabat – one of several sporting events seemingly held with no concern for the Chinese coronavirus.",Expert (Spinde)
"The man-made Amazon fires are for clearing the land of its forests and indigenous people. The benefits are for Jair Bolsonaro’s cronies, while producing a climate disaster for the world.",Expert (Spinde)
"In the runup to the 2018 midterm elections, President Donald Trump often railed against the caravans of migrants from Central America making their way to the U.S. to request asylum.",Expert (Spinde)
"On one hand, it’s true that a female candidate would face an uphill battle against the ingrained sexism of the electorate, not to mention the vicious misogyny of Donald Trump.",Expert (Spinde)
"While the piece fairly analyzes the fracturing of the white nationalist movement, it makes the bizarre claim that ideas that are widely popular amongst mainstream conservatives, such as ending affirmative action, are actually white nationalist in origin.",Expert (Spinde)
"Despite pre-existing and new guidelines, critical decisions made by governors and state leadership have, in some cases, exacerbated the crisis. In New York, Gov. Cuomo’s instruction for long-term care facilities to continue accepting patients with COVID-19 led to devastating results.",Expert (Spinde)
Trump’s latest anti-China barb came as new figures showed 30 million Americans have lost their jobs during lockdown.,Expert (Spinde)
"As dear leader Mitch McConnell (R-Ky.) is fond of saying, “winners make policy, losers go home.” And yet unfortunately, Republicans in the Senate refuse to take the phrase to heart. Which is a real shame. We are just under 280 days into the Trump presidency, yet beyond nominations, Congress has made almost no progress passing the agenda America elected them to enact.",Expert (Spinde)
"Even before Trump started to make a big show out of not wearing a mask, it was common, at least in my South Philadelphia neighborhood, to see MAGA-hat-clad white men walking around without masks, delivering contemptuous sneers to the rest of us suckers who are covering our noses and mouths. ",Expert (Spinde)
"If Trump’s actions threatened to turn the culture war into an active shooting war, that would just be collateral damage on the road to his political recovery.",Expert (Spinde)
"The dynamic exposes two underappreciated realities of Trump’s Iran obsession: Any U.S. war on Iran will ignite war in Iraq, and U.S. credibility is visibly faltering across the region. ",Expert (Spinde)
"While these many similarities between Green New Deal and the constitution ushered in by Venezuelan leftist dictator Hugo Chavez in 1999 may be just happenstance, the important thing to remember is that Venezuela under its new constitution has become a disaster zone.",Expert (Spinde)
"Abortion propaganda was always meant to obscure the reality of abortion, not justify it.",Expert (Spinde)
A specter is haunting the West; our elites see intolerant authoritarianism—along with a plethora of related “-phobias” and “-isms”—everywhere.,Expert (Spinde)
"New York Rep. Alexandria Ocasio-Cortez casually spotlighted her revolutionary rejection of biology, sex, and the male-or-female society during a live Facebook chat in which she was asked about her views on the military draft.",Expert (Spinde)
"But even as the job losses mounted into the tens of millions as the nation rushed to try to contain an already widespread pandemic, the President personally promoted miracle quack cures like hydroxychloroquine and demonstrated his unbridled personal buffoonery by wondering aloud about the possibility of drinking bleach and injecting sunlight as a method of curing oneself of coronavirus.",Expert (Spinde)
"In recent months, Trump has begun aggressively attacking mail voting, a process that is standard in some states now and which many others are expanding because of concerns that in-person voting could spread the coronavirus. Trump has repeatedly claimed that expanding voting by mail will let Democrats cheat, even though he, his press secretary and a top adviser have all voted by mail in recent elections.",Expert (Spinde)
"It is no wonder why Republicans insisted on ramming through incredibly unpopular tax cuts for American corporations that were already making near-record profits, even at the risk of losing control of the House of Representatives. ",Expert (Spinde)
"Female genital mutilation is illegal in Germany, leading many families to travel to their country of origin to have the gruesome ritual performed on their daughters.",Expert (Spinde)
"Corinthian College Inc. is the bankrupted and criminal organization that Marco Rubio was defending just this past year, probably because he got a boatload of money from them in campaign organizations. Over the past 10 years it has come to light—through numerous lawsuits and state and federal investigations—that untold billions of dollars has been swindled out of student and taxpayers’ pockets by this private educational company.",Expert (Spinde)
Transgender MMA fighter Fallon Fox twice broke a female opponent’s skull to win matches and now he is being praised by some in the LGBT community.,Expert (Spinde)
A study shows that the number of children getting routine vaccines to protect them from dangerous diseases has dramatically declined in the wake of the coronavirus.,Expert (Spinde)
"This is what Breitbart News has reported, based on publicly available data ignored by the anti-tariff crowd for over a year. ",Expert (Spinde)
Brooklyn measles outbreak: How a glossy booklet spread anti-vaccine messages in Orthodox Jewish communities,Expert (Spinde)
"Sen. Bernie Sanders’ (I-VT) immigration plan, which opens the border to all foreign nationals, was drafted by a handful of illegal alien staffers.",Expert (Spinde)
Wall Street surged on Thursday as investors weighed the prospect of economic recovery against bellicose remarks from President Donald Trump regarding U.S.-China trade and a whistleblower’s dire warnings about the U.S. response to the coronavirus pandemic.,Expert (Spinde)
"It’s no exaggeration to say that the anti-choice movement, from tip to toe, is stuffed with melodramatic liars and grifters.",Expert (Spinde)
"However, China’s record of successfully producing vaccines in recent years has been so abysmal that communist state media openly admit that they prefer using international manufacturers.",Expert (Spinde)
We should expect growing support for this item for a few reasons: Younger voters of all political stripes are being exposed to the status quo student loan system. Younger voters are also less likely to accept the toxic brand of “conservatism.” ,Expert (Spinde)
"But one glaring absentee was Trump, who not only declined an invitation but failed to send any American representative at all.",Expert (Spinde)
"Rather than reducing federal subsidies to universities and placing the leftist institutions at the mercy of the free market, Obama wants to increase the amount students can borrow with interest from the government.",Expert (Spinde)
"After Steve King’s offensive implication that white people own Western civilization, Chris Hayes predictably responded with an idiotic remark about Western civilization giving us Hitler.",Expert (Spinde)
"So while these Republicans in D.C. are still lost in the mindset that voters will still support them because ""they're not the other guys,"" that's not entirely true: promises were made, tens of millions of dollars were raised off said promises. Time to man up, Republicans, and fulfill those promises or else people might call you for what you're acting like right now: liars.",Expert (Spinde)
"A federal judge in Tucson, Arizona delivered a blow Monday to the Trump administration’s strategy of criminalizing humanitarian aid work along the southern border with her decision to overturn the convictions of four volunteers on religious freedom grounds.",Expert (Spinde)
"But make no mistake about it: Despite receiving widespread positive attention from many in the press, Ocasio-Cortez’s radical left-wing policy proposals and her socialist ideology present a significant threat to America’s economy and its longstanding commitment to individual liberty. ",Expert (Spinde)
He then criticized the attempt to lump Republicans and white nationalists into the same group.,Expert (Spinde)
"The University of Southern California (USC) has fired two employees who allegedly accepted enormous bribes in exchange for facilitating the acceptance of dozens of students, the school has said in an official statement.",Expert (Spinde)
Pompeo appeared hopelessly lost when WSMV’s Nancy Amon was far better prepared for an interview than he was.,Expert (Spinde)
"Male and female are the two sexes — but transgender advocates now claim more than 50 “genders” — including agender, bigender, gender fluid, gender non-conforming, genderqueer, intersex, two-spirit, etc, plus “cis-gender” for the 99+ percent of people who are normal, non-transgender people.",Expert (Spinde)
"On Tuesday, President Donald Trump will give an Oval Office address on the government shutdown he created, during which he presumably will lie through his teeth to defend his highly unpopular immigration agenda.",Expert (Spinde)
"America is likely to remain a relative manufacturing wasteland, as barren as Trump’s own ill-conceived ideas on trade.",Expert (Spinde)
"Obama’s claim that “history” was on his side is arguably false. The massive, historically unprecedented wave of immigrants crashing across the U.S. southern border is a political phenomenon, set in motion by the 1965 Immigration and Nationality Act and accelerated by the Obama administration’s disastrous Deferred Action for Childhood Arrivals (DACA).",Expert (Spinde)
"In practice, that means it's hard to trust Bezos' pledge when Amazon, the source of his wealth, has been aggressively courting oil and gas companies with its cloud computing services and threatened workers who campaigned for stronger climate action with dismissal. ",Expert (Spinde)
Free trade has helped gut working and middle class American jobs and stripped whole middle American towns of their industries and livelihoods.,Expert (Spinde)
"Other than the fact that none of the above is even close to the truth and that the entire premise of the article is the fakest of fake news, the Daily Beast has a real bombshell on its hands.",Expert (Spinde)
"This is all great news. It now looks like we have a safe, highly effective vaccine that has the potential to significantly reduce many forms of cancer. So why is it also becoming a key target of many anti-vaxxers?",Expert (Spinde)
The U.S. president has come under sustained criticism for his racially incendiary rhetoric since launching his candidacy in 2015 — including his repeated use of the word “invasion” to describe immigration along the U.S.-Mexico border.,Expert (Spinde)
"Last week, Barstool Sports founder Dave Portnoy released a three-minute video in which he vigorously ranted against the ongoing lockdowns. Portnoy’s basic point was that the goalposts have shifted from “flatten the curve” to “find a cure.”",Expert (Spinde)
"The whole anti-vaxx (as it became known) thing was nuts, a way for fading celebrities to pretend to be the vanguard of a Great Cause that Saved The Children from a sinister government conspiracy.",Expert (Spinde)
"The biggest problem for NeverTrump, however, is the pitiful performance of the Republican Congress, which has been unable to act on its core priorities, and reinforces the notion that only Trump is strong enough to lead the party.",Expert (Spinde)
A majority of Americans do not agree with Democrats’ gun violence demagoguery. ,Expert (Spinde)
Factual analyses have dismantled this false narrative put forth by some in the mainstream media.,Expert (Spinde)
Republicans and gun-rights groups have pledged stiff resistance.,Expert (Spinde)
"For Democrats, this wave or new regulation, censorship, and civic pressure will free the less-than-one-percent of people who say they are transgender from the oppressive, outdated rules of male-dominated supremacy.",Expert (Spinde)
"When a figurehead like Trump repeats the myth that vaccines cause autism, as he did during the presidential debates, many parents may choose not to vaccinate, putting children at unnecessary risk.",Expert (Spinde)
"During a speech to Young America’s Foundation’s 41st annual National Conservative Student Conference, Hawley slammed the “reigning consensus” of Washington, D.C.’s ruling class that asserts free trade and endless immigration are vital to meet the needs of corporate leaders, the business lobby, and the donor class while ignoring its impact on middle-class Americans.",Expert (Spinde)
Hungary is backing President Trump in his crackdown on migrants claiming asylum at the southern border -- as the government touts its own success in drastically reducing the influx of migrants into the country.,Expert (Spinde)
"Following a terrible school shooting in Parkland, Florida, last year, CNN hosted an anti-gun rally that whitewashed Sheriff Scott Israel’s fatal errors.",Expert (Spinde)
"Over 70,000 women in Germany have been subjected to female genital mutilation (FGM), and a further 17,000 young girls are at risk of having the barbaric procedure being committed against them.",Expert (Spinde)
"Appearing Tuesday Cheddar Live, Rep. Maxine Waters (D) formally endorsed former Vice President Joe Biden for the White House, claiming that President Donald Trump is “destroying America” and advocating for the killing of both black and white children in the wake of nationwide protests over the death of George Floyd.",Expert (Spinde)
"Here’s an irony: Thanks to Roe, America is a whiter place than it would otherwise have become. If pro-lifers had had their way, on the other hand, America would be considerably blacker and browner than it is today.",Expert (Spinde)
"This unholy, unscientific alliance of right-wingers, COVID-19 truthers and anti-vaxxers became very clear recently following the viral spread of an anti-COVID-19 propaganda movie called “Plandemic,” featuring disgraced scientist-turned-anti-vaxxer ...",Expert (Spinde)
"As the Republican Party is struggling to defend him in a moment of nationwide strife, President Donald Trump decided Thursday night to fuel divisions within GOP rather than make nice.",Expert (Spinde)
"The administration has stonewalled Congress during the impeachment proceedings and other investigations, but the American public overwhelmingly wants the Trump administration to comply with lawmakers.",Expert (Spinde)
"The open letter — Millionaires Against Pitchforks — has been released to coincide with the orgy of virtue-signalling by the globalist elite at the World Economic Forum in Davos, Switzerland.",Expert (Spinde)
Even a member of French President Emmanuel Macron’s La République en Marche! (LREM/Republic on the Move) slammed the sports hijab.,Expert (Spinde)
"The idea of exposing your child to something that could potentially harm her, and in a catastrophic way, is terrifying.",Expert (Spinde)
Lawmakers specifically said they want to protect women from facing unfair competition from men who claim to be transgender women.,Expert (Spinde)
"Sargent has written leftist pieces at the Washington Post for years. In March 2016, Sargent called then-candidate Donald Trump a “nightmare nominee,” saying that not even white men like Trump.",Expert (Spinde)
"The Republican president proceeded to pitch an aggressively anti-immigrant message ahead of Election Day 2018, when voters handed Democrats control of the House.",Expert (Spinde)
As the ranks of Democratic Party 2020 presidential hopefuls continue to swell and Trump’s chaotic lawlessness proliferates it’s easy to miss a deepening crisis that’s already taking a toll on millions of households and is about to get much worse.,Expert (Spinde)
"It’s paramount now, as Fox News and the right-wing noise machine try to take down a new generation of Democratic women leaders, that everyone understands the strategy in play.",Expert (Spinde)
"The Turkmen government also published photos of contact sporting events such as wrestling and martial arts, which most of the world has canceled to prevent the spread of the deadly pathogen originating in central Wuhan, China.",Expert (Spinde)
The self-flattering conceit that sustains NeverTrump’s criticism is that Trump supporters are participating in a cult of personality. ,Expert (Spinde)
